gene_name	biotype_99	biotype_110	status
FAM86JP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
FAM90A11P	unprocessed_pseudogene	protein_coding	GAIN
FAM90A12P	unprocessed_pseudogene	protein_coding	GAIN
FAM90A13P	unprocessed_pseudogene	protein_coding	GAIN
FAM90A15P	unprocessed_pseudogene	protein_coding	GAIN
FAM90A20P	unprocessed_pseudogene	protein_coding	GAIN
FAM90A24P	transcribed_unprocessed_pseudogene	protein_coding	GAIN
FAM90A27P	transcribed_unprocessed_pseudogene	protein_coding	GAIN
FAM90A3P	unprocessed_pseudogene	protein_coding	GAIN
FAM90A5P	unprocessed_pseudogene	protein_coding	GAIN
FAM95B1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
FCGR2C	polymorphic_pseudogene	protein_coding	GAIN
FGD5P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
FKBP9P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
FMO9P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
FOLH1B	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
FRG2KP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GBA3	polymorphic_pseudogene	protein_coding	GAIN
GBAP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GBP1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GLRA4	protein_coding	transcribed_unitary_pseudogene	LOSS
GLUD1P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GLUD1P3	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GOLGA2P2Y	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GOLGA2P5	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GOLGA2P9	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GOLGA8DP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GOLGA8IP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GPX1	polymorphic_pseudogene	protein_coding	GAIN
GSTT2	polymorphic_pseudogene	protein_coding	GAIN
GTF2IP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
